# Function table for trigonometric polynomial approximation
# Smooth function with multiple harmonic components
# x_k, y_k values
0.000000 2.744594
0.202683 3.460836
0.405367 3.628576
0.608050 3.169904
0.810734 2.233380
1.013417 1.243033
1.216100 0.580166
1.418784 0.141448
1.621467 -0.097978
1.824151 -0.285859
2.026834 -0.855838
2.229517 -1.680256
2.432201 -2.718049
2.634884 -3.437228
2.837568 -3.673185
3.040251 -3.300403
3.242934 -2.280167
3.445618 -1.218357
3.648301 -0.093789
3.850985 0.422599
4.053668 0.794008
4.256351 0.722517
4.459035 0.482730
4.661718 0.091128
4.864402 -0.210748
5.067085 -0.587669
5.269768 -0.794181
5.472452 -0.657607
5.675135 -0.242797
5.877819 0.615136
6.080502 1.765068
6.283185 2.834481
